id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
14233133,86306399,Salome,Mitte,Brunnenstr. Nord,52.539639,13.380775,Private room,22.000000,3,1,1,0
14353358,27222388,Matias,Lichtenberg,Friedrichsfelde Süd,52.492233,13.513716,Private room,22.000000,1,11,1,0
14584656,90392865,Flora,Neukölln,Neuköllner Mitte/Zentrum,52.467281,13.441461,Private room,22.000000,2,16,1,0
14648520,90955486,Josef,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.502087,13.415512,Private room,22.000000,3,58,1,28
14909967,93646316,Frank,Charlottenburg-Wilm.,Charlottenburg Nord,52.540241,13.274136,Private room,22.000000,2,57,1,87
15124115,21754338,Jully,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509956,13.473330,Private room,22.000000,1,1,1,0
15223677,8102035,Anja,Tempelhof - Schöneberg,Tempelhof,52.476894,13.377433,Private room,22.000000,3,16,1,300
15266797,27902038,Brigitta,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.497437,13.442089,Private room,22.000000,1,32,2,0
15606628,16937088,Petra,Neukölln,Rudow,52.423553,13.485266,Shared room,22.000000,1,31,4,184
15694049,1574908,Jürgen,Charlottenburg-Wilm.,Halensee,52.498951,13.292630,Entire home/apt,22.000000,120,0,9,311
16095529,32743333,AylinKa,Treptow - Köpenick,Baumschulenweg,52.465683,13.485475,Private room,22.000000,6,8,1,0
17127660,7538799,Lina,Neukölln,Neuköllner Mitte/Zentrum,52.476376,13.431628,Private room,22.000000,2,4,1,0
17502338,79116067,Franziska,Treptow - Köpenick,Baumschulenweg,52.464714,13.485846,Private room,22.000000,4,3,1,234
17557369,808393,Oliver,Lichtenberg,Rummelsburger Bucht,52.496819,13.484185,Private room,22.000000,1,23,2,18
17600108,33575092,Tam,Neukölln,Rixdorf,52.474331,13.450482,Private room,22.000000,3,4,2,0
18100737,41559199,Stefano,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.489548,13.388021,Private room,22.000000,4,2,1,0
18270174,17685327,Léonard,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.496025,13.425130,Private room,22.000000,4,2,1,0
18851375,23976921,Sara,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.499809,13.463668,Private room,22.000000,6,31,1,0
18908356,39899418,Larissa,Pankow,Prenzlauer Berg Nord,52.550522,13.428329,Private room,22.000000,2,5,2,0
